regrouping,metric,n_bundles,run82_mean,leadw_mean,delta,ci95_low,ci95_high,wilcoxon_p,cohens_dz
0,subject_coverage,71,0.549676460973459,0.47557184435751154,0.07410461661594756,0.04758647483084,0.10189071927566756,2.2286706208098957e-06,0.6238543637297965
0,object_coverage,71,0.3833830978160549,0.35699507172159745,0.026388026094457423,0.013747525230552789,0.040493113606199525,0.00048010906529405526,0.4627762086111171
0,entity_pair_coverage,71,0.31121599175726006,0.33736082890031055,-0.02614483714305046,-0.039975470969887725,-0.010294582763759295,0.0009149359628250448,-0.4168199575032824
0,predicate_lexical_coverage,71,0.22399794365977627,0.20501463612039214,0.018983307539384146,0.002989883539183087,0.03472098695602314,0.025741428036136722,0.2830691615332682
0,gold_semantic_recall_t060,71,0.041478036198075344,0.033342267995230865,0.008135768202844488,0.002786347198975995,0.013514852781564191,0.006357136902835238,0.34652048026744625
0,gold_semantic_f1_t060,71,0.0696500043686902,0.057026929914489786,0.012623074454200418,0.0038514946923351124,0.021481427396755893,0.022242297641206738,0.3252759417981227
1,subject_coverage,71,0.5546621279661369,0.48794564446658356,0.06671648349955335,0.04250526427064357,0.09033184638514533,4.585865462886689e-06,0.6391944736277506
1,object_coverage,71,0.3926263614192102,0.36646263510594684,0.02616372631326341,0.012352038935098649,0.0402782349612898,0.0010487832679662887,0.423038852443673
1,entity_pair_coverage,71,0.31480601775867056,0.34500687924326745,-0.030200861484596855,-0.0456417838557831,-0.014338387715497105,0.000474535902149238,-0.4337648133712785
1,predicate_lexical_coverage,71,0.23834040071178114,0.20467523458769132,0.03366516612408985,0.01587811268891856,0.052077757990589814,0.0009514604767410188,0.4369948038901724
1,gold_semantic_recall_t060,71,0.03917250296269279,0.03864637353635075,0.0005261294263420296,-0.0052332702349978276,0.0060399825696687255,0.8702128386411763,0.021672844830303795
1,gold_semantic_f1_t060,71,0.06621099003414407,0.06638843580361241,-0.00017744576946833243,-0.010021479086018402,0.009081392411885639,0.6354800780759531,-0.004335924004776964
2,subject_coverage,71,0.5473875646416797,0.46207322604156315,0.08531433860011668,0.057984585928759054,0.1119108533242099,3.0877236045780883e-07,0.7327308909626952
2,object_coverage,71,0.37796188809546843,0.3556853576806594,0.02227653041480907,0.008781523451339063,0.03575353719722746,0.003709098623189225,0.3749776772122444
2,entity_pair_coverage,71,0.29625746598587277,0.33458973340617015,-0.03833226742029743,-0.05306276115049188,-0.02328502886407444,2.627813488263542e-05,-0.5841836203154974
2,predicate_lexical_coverage,71,0.22268304873758585,0.195348158329521,0.027334890408064833,0.011088899169192113,0.04278886687598127,0.0012902843019050887,0.39747585129579033
2,gold_semantic_recall_t060,71,0.039938774138826905,0.03356357744663211,0.006375196692194789,-0.00010583381552059156,0.013152908169258746,0.11232266182045546,0.22656043843045978
2,gold_semantic_f1_t060,71,0.06676406978906113,0.058030186844290656,0.008733882944770479,-0.0020600760545206598,0.020059148881142113,0.3884993122244794,0.1873812198527921
3,subject_coverage,71,0.5501563776476398,0.474925292610769,0.07523108503687068,0.051425849240616196,0.09798815779866693,1.248985843181639e-07,0.7486278946508216
3,object_coverage,71,0.3851576323371194,0.3587563135142116,0.02640131882290783,0.013900569385837848,0.03920865298112178,8.528246839791942e-05,0.48913529329841227
3,entity_pair_coverage,71,0.3142591009388292,0.33618726885783085,-0.021928167919001543,-0.037854832878251865,-0.006666644944196093,0.008157348357387243,-0.33322736031535743
3,predicate_lexical_coverage,71,0.23048350236889012,0.20593872391237905,0.02454477845651106,0.008177695664848623,0.039912082261706366,0.003691200437032944,0.34720269116831565
3,gold_semantic_recall_t060,71,0.04040662953518943,0.03765271290882888,0.0027539166263605514,-0.0021987260774858305,0.007735783151286035,0.1680184657083874,0.12874975407811756
3,gold_semantic_f1_t060,71,0.06834220386165915,0.06462168837412241,0.00372051548753675,-0.00466056219342761,0.012069784039640458,0.40252600266991767,0.1038893213086094
4,subject_coverage,71,0.544613006533406,0.46238439527052155,0.0822286112628845,0.055371254845472215,0.11043554827069638,8.826449689895226e-07,0.7012023850270199
4,object_coverage,71,0.3845673293827347,0.35827142345663504,0.02629590592609965,0.012578822235304082,0.03986783569519508,0.00020858518206884536,0.4466084804696749
4,entity_pair_coverage,71,0.307576641413756,0.33742372711717755,-0.029847085703421504,-0.045755624366476094,-0.013184148703277599,0.0009543318804310938,-0.42075960849521366
4,predicate_lexical_coverage,71,0.2279030531534035,0.19992162711059067,0.027981426042812868,0.012643947997458107,0.042899213034424864,0.0011133921952238832,0.4195102591827767
