metric,regroupings,mean_delta,delta_q025,delta_q975,direction_positive_fraction,significant_fraction,median_p,median_dz
entity_pair_coverage,100,-0.023466937710214745,-0.0401405235027572,-0.012234633828522253,0.0,0.85,0.005483128431920919,-0.3401639981344883
gold_semantic_f1_t060,100,0.006147815607779271,-0.0018158840449027523,0.014993498215639082,0.93,0.2,0.24086103949373838,0.15863676213200786
gold_semantic_recall_t060,100,0.004175523927994124,-0.0003691791499138369,0.009345349588860628,0.97,0.34,0.12153117512995959,0.17774177791558526
object_coverage,100,0.029208750776802565,0.015935616446046297,0.04078907615930479,1.0,0.99,0.00010325842824966986,0.4931922027862
predicate_lexical_coverage,100,0.024162564243573704,0.009532865751693242,0.03973046627236451,1.0,0.85,0.005173496633756711,0.3476801740641137
subject_coverage,100,0.07828236691277109,0.054176926593405256,0.10496345900460935,1.0,1.0,8.236261113234373e-07,0.6971340213906378
