cluster_id,compression_gain
test_00023,0.8800988875154512
test_00030,0.7598425196850394
test_00042,0.8835534213685474
test_00049,0.9281131334293571
test_00064,0.9417960088691796
test_00083,0.19075144508670516
test_00090,0.4788937409024745
test_00104,0.2490842490842491
test_00106,0.7786195286195287
test_00128,0.9178314273612875
test_00141,0.6799485861182519
test_00147,0.9740714157545308
test_00151,0.5819881053525913
test_00170,0.8422018348623853
test_00174,0.0
test_00180,0.9606149957877
test_00187,0.9039337474120083
test_00191,0.5764705882352941
test_00208,0.9021636876763875
test_00215,0.8487858719646799
test_00240,0.8009748172217709
test_00245,0.5715835140997831
test_00252,0.8624641833810889
test_00254,0.6761710794297353
test_00270,0.9399684044233807
test_00287,0.9601029601029601
test_00296,0.7175239755884917
test_00318,0.7976307996051333
test_00320,0.6261437908496732
test_00326,0.8448389217619987
test_00384,0.8261997405966277
test_00426,0.8670248488918737
test_00439,0.8372686662412253
test_00448,0.2749445676274944
test_00449,0.8207607994842038
test_00451,0.780053428317008
test_00455,0.8540051679586563
test_00474,0.7642857142857142
test_00475,0.917377812257564
test_00489,0.7723258096172718
test_00507,0.891835673426937
test_00509,0.6432432432432432
test_00533,0.2684824902723736
test_00539,0.9748796315679297
test_00546,0.7767272727272727
test_00550,0.8505079825834543
test_00562,0.5922330097087378
test_00564,0.0
test_00565,0.7362126245847176
test_00585,0.3123644251626898
test_00591,0.6242821985233797
test_00600,0.8873456790123457
test_00616,0.8695881731784583
test_00617,0.8024408848207475
test_00622,0.8305882352941176
test_00636,0.911612426035503
test_00638,0.5
test_00641,0.861782999308915
test_00657,0.2257383966244726
test_00707,0.7192727272727273
test_00729,0.8405128205128205
test_00734,0.8825347758887172
test_00751,0.0
test_00753,0.591254752851711
test_00762,0.8993919292426755
test_00770,0.9232784431137725
test_00792,0.8588679245283019
test_00793,0.948122866894198
test_00812,0.5926966292134832
test_00818,0.7805771873568483
test_00827,0.4704761904761905
test_00828,0.9025444071051368
test_00839,0.9201722424643922
test_00848,0.8965663416701992
test_00861,0.46696035242290745
test_00875,0.8909329829172142
test_00879,0.9020674646354734
test_00880,0.8977937865826204
test_00916,0.3933333333333333
test_00922,0.8693647540983607
test_00923,0.8689002184996358
test_00966,0.7827715355805244
test_00969,0.9205160216396171
test_00975,0.15437788018433185
test_00977,0.3438202247191011
test_00985,0.5526315789473684
test_00990,0.8758657432072456
test_01005,0.8086532602071907
test_01007,0.7688564476885644
test_01015,0.8570078740157481
test_01030,0.020895522388059695
test_01048,0.9168539325842696
test_01050,0.9050075872534142
test_01053,0.9538866930171278
test_01055,0.856203007518797
test_01057,0.8434579439252337
test_01060,0.6428571428571428
test_01073,0.837122969837587
test_01093,0.7063953488372092
test_01107,0.8156384505021521
test_01113,0.5744089012517386
test_01133,0.45827232796486095
test_01148,0.72
test_01165,0.8489483747609943
test_01192,0.6958333333333333
test_01193,0.8188050930460333
test_01204,0.7861020629750272
test_01210,0.9173646007816862
test_01233,0.8492706645056726
test_01253,0.6847034339229969
test_01281,0.6117969821673526
test_01294,0.9051204819277109
test_01313,0.8940471733433171
test_01322,0.9053129931614939
test_01343,0.5914221218961626
test_01358,0.9550273048506264
test_01368,0.7885548011639185
test_01379,0.6373902132998746
test_01395,0.6340160284951024
test_01401,0.5799689440993789
test_01404,0.4285714285714286
test_01412,0.6215909090909091
test_01417,0.7938299473288186
test_01426,0.9265467845169155
test_01427,0.8395061728395061
test_01463,0.9670267518805498
test_01469,0.6809895833333333
test_01470,0.5881834215167548
test_01483,0.9593379648549244
test_01491,0.8610271903323263
test_01493,0.7081545064377682
test_01495,0.0
test_01496,0.6921921921921922
test_01515,0.7775816416593115
