variant,concept_f1,relation_f1,exact_triple_f1,soft_triple_f1,domain_range_pair_accuracy,edge_retention,summary_words,absolute_budget_mismatch_pct
full_run82,0.4519023559968738,0.4456394252902082,0.40653266923851333,0.4090229933252515,0.9665963797640268,0.2914614404306489,271.996,0.0
no_pattern,0.3900647646467461,0.43294323369230886,0.39095694177505874,0.3941519658032632,0.9674283006209476,0.27778929490513243,205.572,22.056701924376398
no_redundancy,0.5074709313072845,0.4577586859176913,0.4339913861385858,0.4364150898435236,0.9564785339961037,0.3156408300476505,395.066,55.6941738101526
no_topic,0.4812993254496424,0.44972462986536477,0.4124398514919477,0.41502354381887335,0.9668947738535973,0.2965860499829211,303.222,15.748952517723225
