ablation,metric,full_mean,ablation_mean,full_minus_ablation,ci95_low,ci95_high,wilcoxon_p,cohens_dz,n
no_topic,concept_f1,0.4519023559968738,0.48129932544964243,-0.029396969452768623,-0.033140790917678645,-0.02573346597982669,2.889253871462636e-40,-0.6870611186060521,500
no_topic,relation_f1,0.4456394252902082,0.4497246298653647,-0.004085204575156529,-0.011069653073219476,0.0027134868367199236,0.37611027911607564,-0.052876754760572506,500
no_topic,exact_triple_f1,0.40653266923851333,0.4124398514919477,-0.005907182253434312,-0.012022292683753827,3.865776153550865e-05,0.07739370423368577,-0.08623360064221473,500
no_topic,soft_triple_f1,0.4090229933252515,0.41502354381887335,-0.006000550493621871,-0.012042088102472287,-9.554857126522124e-05,0.06995670094369656,-0.08846284612931843,500
no_topic,domain_range_pair_accuracy,0.9665963797640268,0.9668947738535973,-0.0002983940895705599,-0.006430467718555954,0.006422123954476893,0.43591093722128327,-0.00400818466459997,500
no_topic,edge_retention,0.2914614404306489,0.29658604998292104,-0.005124609552272185,-0.010294666175921553,-6.761195691359051e-05,0.07136522968261662,-0.08743187202097673,500
no_pattern,concept_f1,0.4519023559968738,0.3900647646467461,0.06183759135012767,0.05578900111264914,0.06773055024295163,4.9952519882027136e-67,0.9155395493959552,500
no_pattern,relation_f1,0.4456394252902082,0.4329432336923088,0.012696191597899364,0.0030759398454069083,0.02224274751255058,0.01021507463609109,0.11661337623952611,500
no_pattern,exact_triple_f1,0.40653266923851333,0.3909569417750587,0.01557572746345464,0.006347063757149213,0.024716871260644833,0.0017208005333330524,0.14820750518104261,500
no_pattern,soft_triple_f1,0.4090229933252515,0.3941519658032632,0.01487102752198827,0.0056920422168741346,0.024033225347851392,0.003126003590957529,0.14167214184938473,500
no_pattern,domain_range_pair_accuracy,0.9665963797640268,0.9674283006209478,-0.0008319208569208558,-0.009838066598434243,0.0075335153735153725,0.41588102633332724,-0.008608330695516008,500
no_pattern,edge_retention,0.2914614404306489,0.2777892949051325,0.013672145525516488,0.005139981179985784,0.022315795700994588,0.001263978541396019,0.13955792941751768,500
no_redundancy,concept_f1,0.4519023559968738,0.5074709313072845,-0.055568575310410664,-0.06374764483009779,-0.047017620725770044,1.4002285209288042e-31,-0.5847913906087919,500
no_redundancy,relation_f1,0.4456394252902082,0.4577586859176913,-0.01211926062748309,-0.02394049722776025,-0.00032914585510735665,0.012551439670918142,-0.09022302051340632,500
no_redundancy,exact_triple_f1,0.40653266923851333,0.4339913861385858,-0.02745871690007241,-0.03861801829707457,-0.016370225687918592,5.879744327140981e-08,-0.21498984555235195,500
no_redundancy,soft_triple_f1,0.4090229933252515,0.4364150898435236,-0.027392096518272104,-0.03851819566069006,-0.016311754188379327,7.06601830848397e-08,-0.21469125090603175,500
no_redundancy,domain_range_pair_accuracy,0.9665963797640268,0.9564785339961037,0.01011784576792317,-0.0008015925285584731,0.02190343318231476,0.4389227558485058,0.07820060254700874,500
no_redundancy,edge_retention,0.2914614404306489,0.3156408300476505,-0.02417938961700154,-0.03421435231498328,-0.014071867453163297,1.5112276286523236e-07,-0.2089186603185837,500
