cluster_id,compression_gain
test_00006,0.6002155172413793
test_00008,0.0
test_00013,0.0
test_00017,0.0818505338078291
test_00026,0.7626606198034769
test_00032,0.0566893424036281
test_00033,0.5988023952095809
test_00040,0.6543408360128617
test_00041,0.7723054960742327
test_00053,0.846820809248555
test_00060,0.8365949119373777
test_00061,0.6853932584269663
test_00067,0.6469833119383825
test_00068,0.8170914542728636
test_00079,0.9734290147401086
test_00088,0.8911489829576691
test_00089,0.8265682656826568
test_00094,0.8887677208287895
test_00107,0.7164179104477613
test_00108,0.8085419734904271
test_00153,0.9314040728831724
test_00163,0.911310413552566
test_00165,0.8816408876933423
test_00178,0.7483253588516746
test_00188,0.7843621399176954
test_00231,0.7439886845827439
test_00240,0.8009748172217709
test_00250,0.9498111171073934
test_00257,0.8409090909090909
test_00263,0.8945473251028806
test_00270,0.9399684044233808
test_00271,0.0
test_00275,0.9346138128320391
test_00277,0.9232736572890026
test_00279,0.5466666666666666
test_00281,0.8586550435865504
test_00286,0.7770734284204965
test_00307,0.9312879514221796
test_00323,0.8091106290672452
test_00331,0.7473170731707317
test_00335,0.923780487804878
test_00347,0.9323615160349854
test_00351,0.7401129943502824
test_00362,0.36
test_00374,0.6736842105263158
test_00384,0.8261997405966277
test_00413,0.8406139315230224
test_00433,0.5268505079825834
test_00454,0.949869451697128
test_00462,0.930379746835443
test_00464,0.0
test_00471,0.6285714285714286
test_00484,0.942899335466404
test_00502,0.7036144578313253
test_00513,0.6232638888888888
test_00542,0.6686746987951807
test_00546,0.7767272727272727
test_00551,0.8798213560698336
test_00576,0.9614203454894432
test_00617,0.8024408848207475
test_00639,0.8865740740740741
test_00669,0.9236111111111112
test_00689,0.6449375866851594
test_00712,0.0
test_00731,0.8009478672985781
test_00735,0.1403508771929824
test_00744,0.7218614718614719
test_00748,0.1963636363636364
test_00771,0.6876172607879925
test_00772,0.7764102564102564
test_00791,0.8568493150684932
test_00806,0.6850393700787402
test_00809,0.8690245924288478
test_00819,0.8220338983050848
test_00837,0.7555129434324065
test_00850,0.0
test_00853,0.7417078334509527
test_00874,0.2924335378323108
test_00882,0.7917133258678611
test_00889,0.1871657754010695
test_00890,0.9478947368421052
test_00891,0.0
test_00903,0.943309162821358
test_00909,0.9602481617647058
test_00922,0.8693647540983607
test_00938,0.4387351778656126
test_00955,0.7947178871548619
test_00998,0.838302752293578
test_00999,0.7854518736223365
test_01015,0.8570078740157481
test_01016,0.8471428571428572
test_01028,0.8536585365853658
test_01030,0.0208955223880596
test_01031,0.7636505460218409
test_01037,0.2183235867446393
test_01051,0.7091388400702987
test_01060,0.6428571428571428
test_01065,0.657942238267148
test_01068,0.9060773480662984
test_01074,0.9120221096269
test_01077,0.7731755424063116
test_01083,0.946538556294654
test_01090,-0.0111731843575419
test_01096,0.7045280122793554
test_01107,0.8156384505021521
test_01111,0.8502994011976048
test_01117,0.0
test_01127,0.9682175622542596
test_01135,0.9628597122302158
test_01142,0.7895247332686712
test_01146,0.8015768725361366
test_01157,0.573394495412844
test_01158,0.8127398311588642
test_01168,0.8117962466487936
test_01177,0.9507079181961196
test_01203,0.9244338498212156
test_01208,0.9188884716485168
test_01223,0.3626373626373627
test_01233,0.8492706645056726
test_01260,0.4513108614232209
test_01272,0.870943396226415
test_01278,0.709992486851991
test_01283,0.9470588235294116
test_01296,0.8073440643863179
test_01306,0.474
test_01322,0.905312993161494
test_01340,0.8974008207934336
test_01366,0.8940290478752018
test_01372,0.0996978851963745
test_01380,0.793836344314559
test_01388,0.968358602504944
test_01461,0.7229129662522202
test_01478,0.4723404255319149
test_01518,0.0
test_01522,0.9425992779783392
test_01533,0.478796169630643
test_01545,0.8810109595168866
test_01574,0.871261378413524
test_01577,0.7941445562671546
test_01616,0.8096926713947991
test_01630,0.8693418940609952
test_01635,0.6128712871287129
test_01645,0.2009803921568627
test_01646,0.8645224171539961
test_01653,0.96513222331048
test_01655,0.940675477239354
test_01658,0.9025641025641026
test_01660,0.8124536693847294
test_01682,0.9213843685537474
test_01688,0.7763713080168777
test_01695,0.9130669546436284
test_01703,0.0
test_01707,0.3977272727272727
test_01713,0.7672872340425532
test_01723,0.9333703498056636
test_01725,0.7622523461939521
test_01734,0.8271604938271605
test_01739,0.8767826583000571
