metric,run82_mean,leadw_mean,delta,ci95_low,ci95_high,wilcoxon_p,cohens_dz,n
entity_f1,0.29799323639896397,0.5045076536352078,-0.20651441723624384,-0.2368907465055298,-0.1761356074551237,6.589126823572878e-31,-0.5964028949023568,500
relation_f1,0.2970043205160852,0.5002912564559624,-0.20328693593987712,-0.23990628797672914,-0.16681048079371608,1.3123214092395947e-22,-0.48638123277106937,500
pair_f1,0.19266602093558619,0.4233651042455996,-0.2306990833100134,-0.2648449955773276,-0.19705946262954677,5.83029617194292e-29,-0.5969724267827534,500
exact_triple_f1,0.17790543117013705,0.4093803871108824,-0.2314749559407454,-0.264450525139635,-0.1992456335322744,1.418791977195629e-30,-0.6192480199437453,500
